fecha,nuevas,suspendidas,reingresos,actividad,delta,saldo
2000-01-01,95,0,0,C1071,0,95
2000-02-18,1,0,0,C1071,0,96
2000-05-08,1,0,0,C1071,0,97
2000-12-11,1,0,0,C1071,0,98
2001-03-22,1,0,0,C1071,0,99
2001-03-29,1,0,0,C1071,0,100
2001-11-28,1,0,0,C1071,0,101
2002-03-25,1,0,0,C1071,0,102
2002-07-10,1,0,0,C1071,0,103
2002-07-18,1,0,0,C1071,0,104
2002-08-02,1,0,0,C1071,0,105
2002-11-12,1,0,0,C1071,0,106
2002-11-25,2,0,0,C1071,0,108
2003-11-19,1,0,0,C1071,0,109
2004-08-03,1,0,0,C1071,0,110
2005-01-21,1,0,0,C1071,0,111
2005-05-19,1,0,0,C1071,0,112
2005-05-26,1,0,0,C1071,0,113
2005-06-23,1,0,0,C1071,0,114
2005-12-08,1,0,0,C1071,0,115
2006-01-31,1,0,0,C1071,0,116
2006-06-01,1,0,0,C1071,0,117
2006-07-12,1,0,0,C1071,0,118
2007-02-15,1,0,0,C1071,0,119
2007-05-29,1,0,0,C1071,0,120
2007-09-11,1,0,0,C1071,0,121
2007-10-15,1,0,0,C1071,0,122
2008-02-29,1,0,0,C1071,0,123
2008-04-02,1,0,0,C1071,0,124
2008-10-14,1,0,0,C1071,0,125
2009-02-20,1,0,0,C1071,0,126
2009-04-29,1,0,0,C1071,0,127
2009-07-21,1,0,0,C1071,0,128
2009-08-18,1,0,0,C1071,0,129
2010-04-22,1,0,0,C1071,0,130
2010-06-21,1,0,0,C1071,0,131
2010-07-28,1,0,0,C1071,0,132
2010-09-22,1,0,0,C1071,0,133
2010-10-13,1,0,0,C1071,0,134
2010-11-16,1,0,0,C1071,0,135
2010-11-24,1,0,0,C1071,0,136
2011-07-28,1,0,0,C1071,0,137
2011-09-14,1,0,0,C1071,0,138
2011-12-14,1,0,0,C1071,0,139
2011-12-19,1,0,0,C1071,0,140
2012-02-02,1,0,0,C1071,0,141
2012-03-06,1,0,0,C1071,0,142
2012-03-26,1,0,0,C1071,0,143
2012-06-05,1,0,0,C1071,0,144
2012-10-17,1,0,0,C1071,0,145
2013-01-31,1,0,0,C1071,0,146
2013-05-15,1,0,0,C1071,0,147
2013-07-11,1,0,0,C1071,0,148
2013-07-16,1,0,0,C1071,0,149
2013-09-11,1,0,0,C1071,0,150
2013-09-23,1,0,0,C1071,0,151
2013-12-02,1,0,0,C1071,0,152
2013-12-05,1,0,0,C1071,0,153
2014-01-29,1,0,0,C1071,0,154
2014-06-06,1,0,0,C1071,0,155
2014-09-04,1,0,0,C1071,0,156
2014-09-10,1,0,0,C1071,0,157
2014-09-26,1,0,0,C1071,0,158
2014-10-29,1,0,0,C1071,0,159
2014-11-17,1,0,0,C1071,0,160
