anio_fiscal,mes_fiscal,tipo_contribuyente,actividad_economica,impuesto_causado_601,imp_a_pagar_por_percepcion_699,imp_a_pagar_por_retencion_799,total_compras_locales_e_importac_519,total_ventas_y_exportaciones_419
2012,7,SOCIEDADES,C1103,3473262.59,3473262.59,617492.67,25095280.41,51168510.57
2012,8,SOCIEDADES,C1050,624973.61,591617.15,1244378.87,57735033.03,62773513.08
2012,8,SOCIEDADES,C1071,798186.2000000001,757901.04,152772.33,17371812.5,22341506.87
2012,8,SOCIEDADES,C1103,3089840.97,3089840.97,799823.08,29309712.18,52229536.53
2012,9,SOCIEDADES,C1050,993986.74,715243.96,819662.13,51511121.15,59675843.78
2012,9,SOCIEDADES,C1071,682158.01,644248.5,185531.59,17222250.66,21683165.209999997
2012,9,SOCIEDADES,C1103,1911602.91,1911602.91,316384.34,31065167.72,45213303.89
2012,10,SOCIEDADES,C1050,1121929.1400000001,1105132.18,461881.52999999997,47600665.02,57822892.39
2012,10,SOCIEDADES,C1071,948905.11,901910.7999999999,195988.88,18392353.94,24336853.74
2012,10,SOCIEDADES,C1103,3072913.68,2975990.99,1170937.04,29818550.66,52930864.28
2012,11,SOCIEDADES,C1050,790046.94,762495.8300000001,1134920.42,51632857.410000004,58005973.09
2012,11,SOCIEDADES,C1071,1019857.48,968087.31,209935.48,18352088.61,25348183.13
2012,11,SOCIEDADES,C1103,3624702.97,3509351.58,779286.18,24675578.4,52843945.71
2012,12,SOCIEDADES,C1050,960420.5,861885.4600000001,1192589.97,56107057.25,61764562.49
2012,12,SOCIEDADES,C1071,569076.4,492944.61000000004,275590.18,18084870.16,24673389.91
2012,12,SOCIEDADES,C1103,5369467.14,5369467.14,366224.63,22148780.08,65300520.77
2013,1,SOCIEDADES,C1050,1281248.02,1229455.6500000001,720834.86,45474356.04,55545606.41
2013,1,SOCIEDADES,C1071,1445516.32,1327097.2799999998,128766.53,12520425.14,25220422.48
2013,1,SOCIEDADES,C1103,4832948.24,4832948.24,822206.7,20371602.78,58032447.29
2013,2,SOCIEDADES,C1050,1465069.8900000001,1448871.03,659342.44,43585054.309999995,54378678.22
2013,2,SOCIEDADES,C1071,993310.68,922556.51,154242.38,13418423.8,20932408.95
2013,2,SOCIEDADES,C1103,2586789.4,2586506.44,320256.53,18065135.29,38391043
2013,3,SOCIEDADES,C1050,1681590.14,1672742.8699999999,683427.02,44548134.33,61013144.43
2013,3,SOCIEDADES,C1071,1096181.2,1023903.64,145377.75,13103314.9,22483022.04
2013,3,SOCIEDADES,C1103,4261957.39,4261657.39,553304.97,17783223.53,51296400.86
2013,4,SOCIEDADES,C1050,1372508.77,1362607.73,777845.89,51656423.66,63606958.11
2013,4,SOCIEDADES,C1071,1014836.06,940691.2999999999,156177.75,14039843.43,21731806.509999998
2013,4,SOCIEDADES,C1103,3182103.86,3177788.99,838979.17,26352119.34,50887882.14
2013,5,SOCIEDADES,C1050,1195615.14,1165091.63,1112192.32,58746441.01,69019452.45
2013,5,SOCIEDADES,C1071,1091817.27,1019173.54,173154.05,15636049.47,23966117.9
2013,5,SOCIEDADES,C1103,4199482.59,4198694.36,724611.99,25026367.24,57369237.69
2013,6,SOCIEDADES,C1050,1497418.95,1478875.71,587542.35,48949900.12,59571409.13
2013,6,SOCIEDADES,C1071,959189.36,900259.37,162165.16,16239951.07,22058155.54
2013,6,SOCIEDADES,C1103,4213137.22,4213137.22,303132.58,19678575.88,52094726.61
2013,7,SOCIEDADES,C1050,1638863.31,1622248.0999999999,757276.7,49710322.14,61661919.89
2013,7,SOCIEDADES,C1071,1196451.17,1143339.15,167461.62,14600339.370000001,23801515.259999998
2013,7,SOCIEDADES,C1103,3917306.58,3917222.33,750266.73,24011288.09,53944450.84
2013,8,SOCIEDADES,C1050,1328614.6400000001,1300521.4100000001,980777.91,56439651.75,66142494.4
2013,8,SOCIEDADES,C1071,1167349.6199999999,1119741.44,161146.39,15714882.62,24694310.34
2013,8,SOCIEDADES,C1103,4399267.84,4398744.41,333951.99,19411398.13,53661688.91
2013,9,SOCIEDADES,C1050,1309077.7,1286780.8,809514.4,54335184.4,64273815.87
2013,9,SOCIEDADES,C1071,778686.52,747118.54,170442.36,16620423.26,20820731.65
2013,9,SOCIEDADES,C1103,3955296.22,3955296.22,561348.94,18725961.56,49041312.29
2013,10,SOCIEDADES,C1050,1482431.19,1461073.08,790768.5599999999,53340482.449999996,66486155.96
2013,10,SOCIEDADES,C1071,881058.82,824465.28,189719.96,17022746.07,23523577.740000002
2013,10,SOCIEDADES,C1103,3819798.83,3819326.39,1521407.63,31004303.58,60158979.58
2013,11,SOCIEDADES,C1050,1264377.93,1213816.27,975306.12,54997462.73,66846608.92
2013,11,SOCIEDADES,C1071,534391.27,463877.35,203719.46,17110400.12,20404419.91
2013,11,SOCIEDADES,C1103,4557316.73,4557316.73,403148.39,24280093.34,59702451.48
2013,12,SOCIEDADES,C1050,733979.71,692100.46,1366577.28,66883021.6,69640185.98
2013,12,SOCIEDADES,C1071,557343.43,484912.25,188427.23,18047975.81,20969907.75
2013,12,SOCIEDADES,C1103,5494199.02,5494199.02,1600185.68,31664600.14,75071062.55
2014,1,SOCIEDADES,C1050,2240606.2,2194738.44,389214.92,42111385.43,63411925.419999994
2014,1,SOCIEDADES,C1071,759230.65,470599.13,130917.45000000001,12715382.950000001,19676112.2
2014,1,SOCIEDADES,C1103,4547803.41,4547803.41,299539.34,16960462.92,51623339.84
2014,2,SOCIEDADES,C1050,997920.07,987610.52,1455019.05,52356431.46,60624376.44
2014,2,SOCIEDADES,C1071,922672.27,649499.12,172297.73,13263989.92,20964304.14
2014,2,SOCIEDADES,C1103,4447266.08,4390736.16,395541.83,19024007.63,53976493.87
2014,3,SOCIEDADES,C1050,1845124.8599999999,1824114.74,470051.86,47058131.39,64712370.15
2014,3,SOCIEDADES,C1071,1060303.4300000002,993686.32,160234.44999999998,12816610.059999999,22265115.150000002
2014,3,SOCIEDADES,C1103,5500255.15,5500255.15,227628.18,14781601.44,58282950.83
2014,4,SOCIEDADES,C1050,1649120.72,1619127.27,442494.75,52715158.85,72282345.12
2014,4,SOCIEDADES,C1071,955056.8099999999,902398.51,185065.37,15859269.98,23166450.23
2014,4,SOCIEDADES,C1103,3837341.22,3836996.7,1023970.51,25567537.28,54567992.45
2014,5,SOCIEDADES,C1050,1069769.31,1044911.37,1405996.85,62324644.35,72240492.78999999
2014,5,SOCIEDADES,C1071,1033726.8099999999,977622.61,190995.65,16882275.43,25460257.380000003
2014,5,SOCIEDADES,C1103,4958370.98,4957521.55,332363.18,20235203.31,57966786.12
2014,6,SOCIEDADES,C1050,2072641.3,2025632.2,449647.85000000003,51659904.730000004,71167923.52
2014,6,SOCIEDADES,C1071,1169035.95,1094420.26,191715.00999999998,16200394.68,25273161.44
2014,6,SOCIEDADES,C1103,4264122.46,4254943.76,449846.66,24198880.08,56489867.35
2014,7,SOCIEDADES,C1050,1876907,1835679.0999999999,480413.9,54432375.97,71182631.54
2014,7,SOCIEDADES,C1071,883673.4600000001,820193.63,186455.05000000002,16741573.32,22800890.41
2014,7,SOCIEDADES,C1103,3882606.34,3808313.91,1117651.52,27570968.46,56291449.01
2014,8,SOCIEDADES,C1050,1165066.1,1119399.2,1612798.55,61249362.65,71985596.83
2014,8,SOCIEDADES,C1071,981612.78,915790.74,190338.61,17191647.05,25021194.069999997
2014,8,SOCIEDADES,C1103,4782387.87,4771396.3,392190.09,20445013.95,57392968.78
2014,9,SOCIEDADES,C1050,1637896.27,1612274.12,799434.12,61906697.519999996,75098774.37
2014,9,SOCIEDADES,C1071,1067515.68,1004222.27,185180.38999999998,18449605.34,25295727.31
2014,9,SOCIEDADES,C1103,3915041.88,3914851.96,368366.7,23829128.23,53487997.89
2014,10,SOCIEDADES,C1050,2211284.3200000003,2162483.93,411282.01,44217983.84,61228554.660000004
2014,10,SOCIEDADES,C1071,1154362.31,1095635.42,190067.15,18417760.8,27079686.999999996
2014,10,SOCIEDADES,C1103,3579406.29,3579406.29,1024775.59,32682852.51,59469653.09
2014,11,SOCIEDADES,C1050,927736.66,881725.53,1394503.64,57006667.19,66943602.870000005
2014,11,SOCIEDADES,C1071,895633.77,854042.84,200644.09,16830496.23,24056474.05
2014,11,SOCIEDADES,C1103,4626133.23,4626133.23,313416.31,21359523.54,57256390.3
2014,12,SOCIEDADES,C1050,665589.77,608097.09,852460.8,67660776.34,69742744.52
2014,12,SOCIEDADES,C1071,649367.21,542861.47,350273.09,21369769.93,27233365.17
2014,12,SOCIEDADES,C1103,6439965.42,6439965.42,1754234.2,30301485.71,81070403.17
2015,1,SOCIEDADES,C1050,2572052.1399999997,2180354.61,807411.38,39060012.019999996,65807681.64
2015,1,SOCIEDADES,C1071,1327931.43,730975.9299999999,303556.81,15120464.030000001,26911128.21
2015,1,SOCIEDADES,C1103,3772152.13,481485.18,1734690.59,28611422.96,55219857.8
2015,2,SOCIEDADES,C1050,1239299.6500000001,543645.9299999999,1862643.73,51995648.91,64173191.34
2015,2,SOCIEDADES,C1071,947630.14,670552.25,307906.3,16217021.26,21820371.08
2015,2,SOCIEDADES,C1103,5512614.78,2481191.18,733345.3,16697736.7,60263785.33
2015,3,SOCIEDADES,C1050,1995800.23,1250585.51,1263403.85,53059492.72,67802413.50999999
2015,3,SOCIEDADES,C1071,722185.09,443915.09,416510.29,19296660.95,23193367.060000002
2015,3,SOCIEDADES,C1103,5678303.03,2897351.6,978080.73,20199315.35,64575499.62
2015,4,SOCIEDADES,C1050,2242222.02,1847909.42,562116.8,50790701.14,68482060.42
2015,4,SOCIEDADES,C1071,806894.91,703699.37,217379.93,17505760.71,22806811.38
2015,4,SOCIEDADES,C1103,3905801.36,3897375.99,724636.01,20542152.02,49289965.85
2015,5,SOCIEDADES,C1050,674461.5,618884.37,1525657.82,68149992.37,72936460.3
2015,5,SOCIEDADES,C1071,1145376.95,1006747.0800000001,208857.88999999998,16194541.57,25674738.04
2015,5,SOCIEDADES,C1103,4929073.02,4927425.95,234832.46,22534477.930000003,59085257.77
2015,6,SOCIEDADES,C1050,1687859.6800000002,1262465.64,882004.4099999999,59905805.67,70815741.12
2015,6,SOCIEDADES,C1071,918502.15,766536.7000000001,341581.59,18682219.2,25347282.450000003
2015,6,SOCIEDADES,C1103,5363960.14,4390504.4,332344.22,16917485.55,58402939.67
2015,7,SOCIEDADES,C1050,2257034.63,1845752.25,784330.77,53740262.58,77119313.85000001
2015,7,SOCIEDADES,C1071,1113173.05,950784.53,275757.2,18804671.14,26317132.810000002
2015,7,SOCIEDADES,C1103,5518673.78,4610032.19,575771.87,16450554.08,58451959.6
2015,8,SOCIEDADES,C1050,1603924.8900000001,1324023.55,1805267.8800000001,60674168.93,68859863.21
2015,8,SOCIEDADES,C1071,1210956.15,1047344.09,278531.16000000003,16971455.22,26544736.11
2015,8,SOCIEDADES,C1103,5125736.89,4195677.07,860747.59,19909256.849999998,59262111.52
2015,9,SOCIEDADES,C1050,1465841.23,1183934.5999999999,897812.5599999999,61121092.67,68491085.59
2015,9,SOCIEDADES,C1071,1526148.76,1306486.01,289815.1,20145979.68,30185966.64
2015,9,SOCIEDADES,C1103,5188093.82,4254152.76,378811.14,16870288.419999998,56807742.03
2015,10,SOCIEDADES,C1050,2184883.8,1960513.24,828291.44,55095770.32,69044634.17999999
2015,10,SOCIEDADES,C1071,1417999.55,1171351.35,363003.62,21179443.84,30744202.13
2015,10,SOCIEDADES,C1103,4425187.34,3395425.74,1716306.02,29245315.07,63174665.96
2015,11,SOCIEDADES,C1050,1076134.56,812687.66,1552827.74,60436616.53,64868625.940000005
2015,11,SOCIEDADES,C1071,1304707.29,1117721.48,280470.02,18592039.81,28360272.04
2015,11,SOCIEDADES,C1103,4665272.48,3662634.95,511907.03,24938811.36,60662991.23
2015,12,SOCIEDADES,C1050,919041.7899999999,426532.86,2690740.02,87884636.06,73937486.92999999
2015,12,SOCIEDADES,C1071,654801.95,507561.62999999995,491301.37,20989215.3,26688195.76
2015,12,SOCIEDADES,C1103,4618056.91,3428528.64,948525.64,32917776.48,66915822.78
2016,1,SOCIEDADES,C1050,2562875.6599999997,703933.12,676701.52,43318495.57,63050210.3
