fecha,nuevas,suspendidas,reingresos,actividad,delta,saldo
2000-01-01,5,0,0,C1103,0,5
2001-02-28,1,0,0,C1103,0,6
2003-02-26,1,0,0,C1103,0,7
2012-01-26,1,0,0,C1103,0,8
2014-05-01,1,0,0,C1103,0,9
2014-05-29,1,0,0,C1103,0,10
2014-08-13,1,0,0,C1103,0,11
2014-10-27,1,0,0,C1103,0,12
2014-11-11,1,0,0,C1103,0,13
2014-11-24,1,0,0,C1103,0,14
2015-05-14,1,0,0,C1103,0,15
2015-05-25,1,0,0,C1103,0,16
2015-06-29,1,0,0,C1103,0,17
2016-01-27,1,0,0,C1103,0,18
2016-02-24,1,0,0,C1103,0,19
2016-03-24,1,0,0,C1103,0,20
2016-04-15,1,0,0,C1103,0,21
2016-04-26,1,0,0,C1103,0,22
2016-06-21,1,0,0,C1103,0,23
2016-07-21,1,0,0,C1103,0,24
2016-08-09,1,0,0,C1103,0,25
2016-08-29,1,0,0,C1103,0,26
2017-06-15,1,0,0,C1103,0,27
2018-08-31,1,0,0,C1103,0,28
2018-10-23,1,0,0,C1103,0,29
2019-03-12,1,0,0,C1103,0,30
2019-05-21,1,0,0,C1103,0,31
2019-07-09,1,0,0,C1103,0,32
2019-08-29,1,0,0,C1103,0,33
2019-10-21,1,0,0,C1103,0,34
2020-02-14,1,0,0,C1103,0,35
2020-02-21,1,0,0,C1103,0,36
2020-08-18,1,0,0,C1103,0,37
2020-12-17,1,0,0,C1103,0,38
2021-02-01,1,0,0,C1103,0,39
2021-03-08,1,0,0,C1103,0,40
2021-07-07,1,0,0,C1103,0,41
2021-09-29,1,0,0,C1103,0,42
2021-11-15,1,0,0,C1103,0,43
2021-11-18,1,0,0,C1103,0,44
2022-01-30,1,0,0,C1103,0,45
2022-05-17,1,0,0,C1103,0,46
2022-07-04,1,0,0,C1103,0,47
2022-08-15,1,0,0,C1103,0,48
2022-10-31,1,0,0,C1103,0,49
2022-12-17,1,0,0,C1103,0,50
2023-01-23,1,0,0,C1103,0,51
2023-02-02,1,0,0,C1103,0,52
2023-02-04,1,0,0,C1103,0,53
2023-03-07,1,0,0,C1103,0,54
2023-06-13,1,0,0,C1103,0,55
2023-07-26,1,0,0,C1103,0,56
2023-09-29,1,0,0,C1103,0,57
